"","Address","Acres","Value","Building.Type","Sales.Price","Map..","Region","X2014","X2016","X2018","X2020","X2022","sqft","bed","bath"
"3","1 Hamric St","0.46","$182,900.00 ","Dwelling","$214,900.00 ","34 13 10",3,209500,218400,235500,219000,293000,1486,3,2
"5","1 Morrison Dr","0.353","$230,400.00 ","Dwelling","$240,000.00 ","40 4 2 7",3,231200,281100,254500,241400,329500,1914,4,3
"6","1 Pendleton Pl","0.26","$343,400.00 ","Dwelling","$150,000.00 ","22 3 25A",4,365000,366400,386900,368700,446600,2107,4,3
"7","1 S Main Pl","N/A","$285,600.00 ","Dwelling","$388,800.00 ","23 1 159",5,332300,329800,377200,379900,479100,2131,3,2
"11","10 Chamberlain Loop","0.104","$306,100.00 ","Twnhse/condo","$292,800.00 ","39 1 1 37",3,298200,299400,322900,346900,397800,2739,3,4
"12","10 Houston St","0.47","$186,000.00 ","Dwelling","$323,000.00 ","29 1 24",5,227400,235900,257100,340900,410200,3154,3,3
"15","10 Parry Ln","0.04","$119,500.00 ","Dwelling","$145,000.00 ","17 1 46",2,128900,105100,110700,134500,162400,1194,3,1.5
"16","10 Poyntz Pl","N/A","$249,300.00 ","Dwelling","$262,000.00 ","25 8 5",2,249200,263100,283800,266400,352600,1904,3,2
"17","10 Sixty West Dr","N/A","$351,600.00 ","Dwelling","$389,000.00 ","8 1 1 10",6,354600,402800,397900,388000,488000,2256,3,2
"18","100 Smith St","0.526","$153,600.00 ","Dwelling","$155,000.00 ","18 1 19",2,165700,137600,157300,174400,227500,1263,3,2
"19","101 Colonnade Ave","N/A","$220,500.00 ","Dwelling","$227,000.00 ","15 1 1 59",6,237800,207400,230000,248400,317600,2374,3,3
"20","101 Johnstone St","0.79","$414,600.00 ","Dwelling","$410,000.00 ","34 11 22",3,496300,525100,405600,442400,551600,3664,4,3.5
"22","101 Rebel Ridge Rd","N/A","$253,500.00 ","Dwelling","$256,000.00 ","21 2 14",4,250200,261200,281600,283000,334500,2685,5,3
"23","101 Smith St","0.47","$184,100.00 ","Dwelling","$162,000.00 ","18 13 2A",2,204800,163900,176700,165000,263800,1400,3,2
"26","101 Willow Ln","0.22","$150,200.00 ","Dwelling","$162,000.00 ","14 1 23C2",4,149500,160600,145700,158800,226800,1200,3,1
